Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Customer_Segment
325,48,-64.67999999999302,2,2,1,221,5,Potential Loyalist
1,253,5633.32,4,4,4,444,12,Champions
74,51,2019.4,3,2,3,323,8,Loyal Customers
18,180,4404.54,4,4,4,444,12,Champions
309,17,334.4,2,1,2,212,5,Potential Loyalist
374,21,300.93,2,1,1,211,4,Needs Attention
35,113,1889.21,3,3,3,333,9,Champions
203,24,406.76,2,2,2,222,6,Potential Loyalist
231,58,1079.4,2,3,3,233,8,Loyal Customers
213,35,947.61,2,2,3,223,7,Loyal Customers
22,143,6373.68,4,3,4,434,11,Champions
32,296,18287.66,3,4,4,344,11,Champions
1,77,3887.07,4,3,4,434,11,Champions
7,375,8714.89,4,4,4,444,12,Champions
51,218,4212.89,3,4,4,344,11,Champions
286,29,511.25,2,2,2,222,6,Potential Loyalist
2,275,5284.58,4,4,4,444,12,Champions
109,23,552.0,2,2,2,222,6,Potential Loyalist
7,85,1313.1,4,3,3,433,10,Champions
290,23,320.69,2,2,1,221,5,Potential Loyalist
633,3,500.24,1,1,2,112,4,Needs Attention
3,11,168.9,4,1,1,411,6,Potential Loyalist
627,18,917.6999999999999,1,1,3,113,5,Potential Loyalist
412,93,1791.15,1,3,3,133,7,Loyal Customers
50,202,4320.31,3,4,4,344,11,Champions
44,167,4067.38,3,4,4,344,11,Champions
71,52,1298.04,3,2,3,323,8,Loyal Customers
310,51,1127.65,2,2,3,223,7,Loyal Customers
24,83,2989.2200000000003,4,3,4,434,11,Champions
2,18,455.42,4,1,2,412,7,Loyal Customers
389,13,503.15,1,1,2,112,4,Needs Attention
314,152,3426.32,2,4,4,244,10,Champions
129,301,5416.32,2,4,4,244,10,Champions
81,82,1618.27,3,3,3,333,9,Champions
21,283,7888.0,4,4,4,444,12,Champions
4,91,1803.96,4,3,3,433,10,Champions
681,1,-18.38,1,1,1,111,3,Needs Attention
184,100,1839.31,2,3,3,233,8,Loyal Customers
28,30,566.16,3,2,2,322,7,Loyal Customers
378,66,1923.4,2,3,3,233,8,Loyal Customers
337,18,660.8,2,1,2,212,5,Potential Loyalist
414,9,143.94,1,1,1,111,3,Needs Attention
15,146,3901.11,4,4,4,444,12,Champions
402,49,1433.33,1,2,3,123,6,Potential Loyalist
79,32,549.84,3,2,2,322,7,Loyal Customers
21,287,2747.82,4,4,4,444,12,Champions
590,7,234.75000000000003,1,1,1,111,3,Needs Attention
71,112,2376.75,3,3,4,334,10,Champions
63,27,1272.48,3,2,3,323,8,Loyal Customers
15,257,5046.92,4,4,4,444,12,Champions
673,65,931.43,1,3,3,133,7,Loyal Customers
35,126,2409.9,3,3,4,334,10,Champions
45,85,1635.6599999999999,3,3,3,333,9,Champions
118,110,1962.3,2,3,3,233,8,Loyal Customers
413,11,205.25,1,1,1,111,3,Needs Attention
302,5,84.3,2,1,1,211,4,Needs Attention
322,71,1244.15,2,3,3,233,8,Loyal Customers
49,10,1001.36,3,1,3,313,7,Loyal Customers
681,1,63.24,1,1,1,111,3,Needs Attention
148,54,1710.39,2,3,3,233,8,Loyal Customers
21,170,6072.21,4,4,4,444,12,Champions
49,77,1708.1200000000001,3,3,3,333,9,Champions
32,170,4279.64,3,4,4,344,11,Champions
78,272,23090.47,3,4,4,344,11,Champions
300,42,1001.46,2,2,3,223,7,Loyal Customers
409,22,346.9,1,2,2,122,5,Potential Loyalist
74,131,2581.03,3,3,4,334,10,Champions
66,53,935.5,3,2,3,323,8,Loyal Customers
216,37,692.41,2,2,2,222,6,Potential Loyalist
23,990,143269.29,4,4,4,444,12,Champions
656,11,202.56,1,1,1,111,3,Needs Attention
2,381,6708.21,4,4,4,444,12,Champions
112,103,2016.95,2,3,3,233,8,Loyal Customers
385,25,503.01,1,2,2,122,5,Potential Loyalist
63,29,600.39,3,2,2,322,7,Loyal Customers
15,67,1092.83,4,3,3,433,10,Champions
95,176,4119.35,3,4,4,344,11,Champions
0,166,2612.19,4,4,4,444,12,Champions
162,97,3289.78,2,3,4,234,9,Champions
77,95,1680.81,3,3,3,333,9,Champions
194,82,1311.41,2,3,3,233,8,Loyal Customers
11,45,1011.87,4,2,3,423,9,Champions
25,300,7877.2,3,4,4,344,11,Champions
8,174,7435.51,4,4,4,444,12,Champions
42,11,256.4,3,1,1,311,5,Potential Loyalist
35,413,10719.41,3,4,4,344,11,Champions
42,108,5059.32,3,3,4,334,10,Champions
0,707,20428.86,4,4,4,444,12,Champions
84,74,1062.48,3,3,3,333,9,Champions
79,112,13925.93,3,3,4,334,10,Champions
99,16,509.01,2,1,2,212,5,Potential Loyalist
1,583,12394.85,4,4,4,444,12,Champions
13,98,2906.85,4,3,4,434,11,Champions
682,75,1104.48,1,3,3,133,7,Loyal Customers
456,35,768.15,1,2,2,122,5,Potential Loyalist
366,22,347.1,2,2,2,222,6,Potential Loyalist
2,12,172.06,4,1,1,411,6,Potential Loyalist
731,21,485.31,1,1,2,112,4,Needs Attention
20,177,5005.46,4,4,4,444,12,Champions
21,25,426.48,4,2,2,422,8,Loyal Customers
57,58,1002.3100000000001,3,3,3,333,9,Champions
242,26,476.49,2,2,2,222,6,Potential Loyalist
43,22,449.45,3,2,2,322,7,Loyal Customers
21,201,4835.89,4,4,4,444,12,Champions
155,40,666.95,2,2,2,222,6,Potential Loyalist
10,514,12546.53,4,4,4,444,12,Champions
16,23,428.57,4,2,2,422,8,Loyal Customers
133,43,707.09,2,2,2,222,6,Potential Loyalist
52,72,4292.71,3,3,4,334,10,Champions
72,227,5879.95,3,4,4,344,11,Champions
43,129,3153.89,3,3,4,334,10,Champions
57,93,2472.31,3,3,4,334,10,Champions
70,84,1777.49,3,3,3,333,9,Champions
604,23,454.36,1,2,2,122,5,Potential Loyalist
455,18,326.65,1,1,2,112,4,Needs Attention
93,35,826.88,3,2,2,322,7,Loyal Customers
1,72,1124.01,4,3,3,433,10,Champions
45,88,1303.63,3,3,3,333,9,Champions
9,29,1212.05,4,2,3,423,9,Champions
7,51,733.89,4,2,2,422,8,Loyal Customers
681,1,56.73,1,1,1,111,3,Needs Attention
385,18,0.0,1,1,1,111,3,Needs Attention
142,163,3624.55,2,4,4,244,10,Champions
522,76,3070.54,1,3,4,134,8,Loyal Customers
689,23,211.95,1,2,1,121,4,Needs Attention
1,1298,37948.61,4,4,4,444,12,Champions
30,1049,16956.69,3,4,4,344,11,Champions
28,179,2848.23,3,4,4,344,11,Champions
16,764,11966.45,4,4,4,444,12,Champions
53,61,1149.64,3,3,3,333,9,Champions
0,564,13715.62,4,4,4,444,12,Champions
22,572,20173.64,4,4,4,444,12,Champions
3,36,680.99,4,2,2,422,8,Loyal Customers
3,35,477.3,4,2,2,422,8,Loyal Customers
27,245,5435.1,3,4,4,344,11,Champions
22,395,12217.03,4,4,4,444,12,Champions
449,207,21893.53,1,4,4,144,9,Champions
16,148,4846.87,4,4,4,444,12,Champions
32,484,6303.85,3,4,4,344,11,Champions
528,34,708.1,1,2,2,122,5,Potential Loyalist
431,49,1037.28,1,2,3,123,6,Potential Loyalist
730,3,259.79999999999995,1,1,1,111,3,Needs Attention
9,55,1298.66,4,3,3,433,10,Champions
335,15,334.93,2,1,2,212,5,Potential Loyalist
4,463,9818.64,4,4,4,444,12,Champions
38,26,460.40000000000003,3,2,2,322,7,Loyal Customers
62,42,715.21,3,2,2,322,7,Loyal Customers
165,23,416.79,2,2,2,222,6,Potential Loyalist
9,122,1743.52,4,3,3,433,10,Champions
634,19,323.4,1,1,1,111,3,Needs Attention
619,13,54.09,1,1,1,111,3,Needs Attention
81,58,6211.75,3,3,4,334,10,Champions
20,23,403.70000000000005,4,2,2,422,8,Loyal Customers
559,27,393.72,1,2,2,122,5,Potential Loyalist
22,156,5872.31,4,4,4,444,12,Champions
314,160,2089.68,2,4,3,243,9,Champions
95,147,3723.87,3,4,4,344,11,Champions
337,3,0.0,2,1,1,211,4,Needs Attention
17,26,411.0,4,2,2,422,8,Loyal Customers
300,47,908.0,2,2,3,223,7,Loyal Customers
232,23,73.5,2,2,1,221,5,Potential Loyalist
133,51,1797.31,2,2,3,223,7,Loyal Customers
25,69,398.27,3,3,2,332,8,Loyal Customers
283,7,176.5,2,1,1,211,4,Needs Attention
142,154,3689.33,2,4,4,244,10,Champions
414,194,3065.77,1,4,4,144,9,Champions
65,34,138.03,3,2,1,321,6,Potential Loyalist
84,36,586.79,3,2,2,322,7,Loyal Customers
266,84,1597.76,2,3,3,233,8,Loyal Customers
352,16,383.7,2,1,2,212,5,Potential Loyalist
77,74,2648.62,3,3,4,334,10,Champions
27,286,2464.89,3,4,4,344,11,Champions
0,124,2056.89,4,3,3,433,10,Champions
63,42,695.19,3,2,2,322,7,Loyal Customers
78,155,2582.51,3,4,4,344,11,Champions
142,38,599.68,2,2,2,222,6,Potential Loyalist
38,12,192.72,3,1,1,311,5,Potential Loyalist
1,265,4220.85,4,4,4,444,12,Champions
8,242,11091.36,4,4,4,444,12,Champions
490,77,835.1800000000001,1,3,2,132,6,Potential Loyalist
0,71,1316.66,4,3,3,433,10,Champions
81,32,735.51,3,2,2,322,7,Loyal Customers
